rank,title,type,genres,tags,score,chapters,al_id,summary,cover,read_url
3,Tomb Raider King,Manhwa,Action|Adventure|Fantasy,Regression|Genius MC|Hidden Identity|Overpowered MC,9.5,412,110462,,Tomb Raider King.jpg,https://comix.to/title/kl2e-tomb-raider-king
8,Devil Returns To School Days,Manhwa,Action|Drama|Psychological|Martial Arts,Regression|Genius MC|Hidden Identity,9,88,165202,,Devil Returns To School Days.jpg,https://comix.to/title/w7q9-devil-returns-to-school-days
3,The Regressed Mercenary Has a Plan,Manhwa,Action|Fantasy|Martial Arts|Historical,Regression|Genius MC|Hidden Identity,9.5,95,182066,,The Regressed Mercenary Has a Plan.jpg,https://comix.to/title/vkr3z-the-regressed-mercenary-has-a-plan
11,Cheolsu Saves the World,Manhwa,Drama|Sci-Fi,Regression|Genius MC,9.5,,154474,,Cheolsu Saves the World.jpg,https://comix.to/title/63v08-cheolsu-saves-the-world
9,The Horizon,Manhwa,Adventure|Drama|Psychological,Zero to Hero,9.5,,100568,,The Horizon.jpg,https://comix.to/title/7z09e-the-horizon
9,If AI Ruled the World,Manhwa,Drama|Sci-Fi|Thriller,Genius MC,9.5,,132705,,If AI Ruled the World.jpg,https://comix.to/title/z3l9j-if-ai-ruled-the-world
4,Osoraku Kanojo wa Ore no Aniki wo Neratteru,Manga,Comedy|Romance|Slice of Life,Popular ML,9.5,31,191203,,Osoraku Kanojo wa Ore no Aniki wo Neratteru.jpg,https://comix.to/title/x5k7-osoraku-kanojo-wa-ore-no-aniki-wo-neratteru
9,On the Way to Meet Mom,Manhwa,Adventure|Fantasy|Sci-Fi,Family,9.5,,187189,,On the Way to Meet Mom.jpg,https://comix.to/title/g2rk-on-the-way-to-meet-mom
7,SSS-Class Suicide Hunter,Manhwa,Action|Adventure|Drama|Fantasy|Supernatural|Martial Arts|Comedy|Psychological,Regression|System|Overpowered MC|Tower Climbing,9.5,151,128067,,SSS-Class Suicide Hunter.jpg,https://comix.to/title/d70g-sss-class-revival-hunter
7,The Extra's Academy Survival Guide,Manhwa,Action|Fantasy|Isekai|Magic|Drama|Romance,Reincarnation|Genius MC|Magic Academy|Hidden Identity|Heavy Politics,9.5,111,172619,,The Extra's Academy Survival Guide.jpg,https://comix.to/title/nnl80-the-extras-academy-survival-guide
11,The Return of the 8th Class Mage,Manhwa,Action|Fantasy|Magic|Drama|Historical,Regression|Genius MC|Overpowered MC|Hidden Identity|Magic Academy,9.5,80,136331,,The Return of the 8th Class Mage.jpg,https://comix.to/title/mnr8y-the-return-of-the-8th-class-mage
7,The Legend of the Northern Blade,Manhwa,Action|Adventure|Fantasy|Murim|Martial Arts,Hidden Identity|Revenge Plot|Zero to Hero,9.5,202,119521,,The Legend of the Northern Blade.jpg,https://comix.to/title/190ml-the-legend-of-the-northern-blade
10,PIGPEN,Manhwa,Drama|Horror|Mystery|Psychological|Thriller,Genius MC,9.5,,108952,,PIGPEN.jpg,https://comix.to/title/m0emy-pigpen
4,Orenchi no Maid-san,Manga,Comedy|Romance|Slice of Life,Slow Burn Romance|Popular FL,9.5,,101469,,Orenchi no Maid-san.jpg,https://comix.to/title/697w8-orenchi-no-maid-san
7,Disciple of the Holy Sword,Manhwa,Action|Fantasy|Martial Arts,Zero to Hero|Genius MC|Hidden Identity,9,144,150508,,Disciple of the Holy Sword.jpg,https://comix.to/title/1eme-disciple-of-the-holy-sword
3,Leviathan,Manhwa,Action|Adventure|Fantasy|Horror|Sci-Fi,Zero to Hero|Overpowered MC,9,,110605,,Leviathan.jpg,https://comix.to/title/69757-leviathan
9,The Boxer,Manhwa,Action|Drama|Sports|Martial Arts,Quiet ML|Zero to Hero,9,,119174,,The Boxer.jpg,https://comix.to/title/q8d3r-the-boxer
9,Dungeon Odyssey,Manhwa,Action|Adventure|Drama|Fantasy,Modern Fantasy|Tower Climbing,9,149,155485,,Dungeon Odyssey.jpg,https://comix.to/title/2v3n-dungeon-odyssey
9,Tyrant of the Tower Defense Game,Manhwa,Action|Fantasy|Adventure|Drama|Isekai,Reincarnation|System|Genius MC,8.5,187,153513,,Tyrant of the Tower Defense Game.jpg,https://comix.to/title/nn2k5-tyrant-of-the-tower-defense-game
3,Star-Embracing Swordmaster,Manhwa,Action|Adventure|Fantasy|Martial Arts|Supernatural,Zero to Hero|Genius MC|Overpowered MC,9.5,127,170400,,Star-Embracing Swordmaster.jpg,https://comix.to/title/0j5d-star-embracing-swordmaster
3,Omniscient Reader's Viewpoint,Manhwa,Action|Adventure|Fantasy|Drama|Psychological,Regression|Genius MC|System,9.5,310,119257,,Omniscient Reader's Viewpoint.jpg,https://comix.to/title/w2399-omniscient-reader
7,Eternally Regressing Knight,Manhwa,Action|Fantasy,Regression|Heavy Politics|Hidden Identity,8.5,112,177706,,Eternally Regressing Knight.jpg,https://comix.to/title/0kx0d-eternally-regressing-knight
7,Return of the Blossoming Blade,Manhwa,Action|Adventure|Fantasy|Murim|Comedy|Martial Arts,Reincarnation|Hidden Identity|Revenge Plot|Zero to Hero,9,165,132144,,Return of the Mount Hua Sect.jpg,https://comix.to/title/9nej6-return-of-the-blossoming-blade
4,Haimiya-senpai wa Kowakute Kawaii,Manga,Comedy|Romance|Slice of Life,Grumpy FL,9,34,201773,,Haimiya-senpai wa Kowakute Kawaii.jpg,https://comix.to/title/n9vgy-haimiya-senpai-wa-kowakute-kawaii
10,Bad Born Blood,Manhwa,Action|Drama|Sci-Fi,Genius MC|Hidden Identity,8.5,82,184347,,Bad Born Blood.webp,https://comix.to/title/3nlg-bad-born-blood
14,Killer Peter,Manhwa,Action|Comedy|Drama,Reincarnation|Villain ML|Genius MC,8,138,170688,,Killer Peter.webp,https://comix.to/title/wk2n-killer-peter
9,Return of the Mad Demon,Manhwa,Action|Fantasy|Murim|Comedy|Martial Arts,Regression|Hidden Identity|Overpowered MC,9,203,137304,,Return of the Mad Demon.jpg,https://comix.to/title/e0llm-return-of-the-mad-demon
10,Murim Login,Manhwa,Action|Adventure|Fantasy|Murim|Martial Arts,Regression|System|Hidden Identity,8.5,,120385,,Murim Login.jpg,https://comix.to/title/2vz6n-log-in-murim
18,Kaji Daikou no Arbeit wo Hajimetara Gakuen Ichi no Bishoujo no Kazoku ni Kiinirare Chaimashita.,Manga,Comedy|Romance|Slice of Life,Popular FL|Slow Burn Romance,7,14,182330,,I Started Working a Housekeeping Job and Ended up Being Liked by the Family of the Most Beautiful Girl in School.jpg,https://comix.to/title/58gm-i-started-working-a-housekeeping-job-and-ended-up-being-liked-by-the-family-of-the-most-beautiful-girl-in-school
17,"Maigo ni Natte Ita Youjo wo Tasuketara, Otonari ni Sumu Bishoujou Ryuugakusei ga Ie ni Asobi ni Kuru You ni Natta Ken ni Tsuite",Manga,Comedy|Romance|Slice of Life,Sunshine FL|Slow Burn Romance,7,32,159418,,The Story of How a Beautiful Foreign Student Who Lives Next Door Started to Visit My House After I Helped a Lost Little Girl.jpg,https://comix.to/title/r56g-the-story-of-how-a-beautiful-foreign-student-who-lives-next-door-started-to-visit-my-house-after-i-helped-a-lost-little-girl
8,They Are Still Being Shaken This Morning,Manga,Comedy|Romance,Sunshine FL,9,48,172729,,They Are Still Being Shaken This Morning.jpg,https://comix.to/title/xk0r-they-are-still-being-shaken-this-morning
2,A Stepmother’s Märchen,Manhwa,Drama|Fantasy|Romance|Historical,Regression|Family|Heavy Politics,10,174,111075,,A Stepmother’s Märchen.png,https://comix.to/title/z905-the-fantasie-of-a-stepmother
13,My Blasted Reincarnated Life,Manhwa,Action|Adventure|Drama|Fantasy,Reincarnation|Zero to Hero,8,81,151512,,My Blasted Reincarnated Life.jpg,https://comix.to/title/y2d6-my-blasted-reincarnated-life
6,Learning to Love My Cat-like Classmate,Manga,Comedy|Romance|Slice of Life,Sunshine FL|Grumpy ML,9.5,35,174790,,Learning to Love My Cat-like Classmate.jpg,https://comix.to/title/5zvmm-learning-to-love-my-cat-like-classmate
11,Pick Me Up,Manhwa,Action|Adventure|Fantasy,Reincarnation|System|Genius MC,8.5,208,159441,,Pick Me Up.jpg,https://comix.to/title/jr55d-pick-me-up
11,Lout of Count’s Family,Manhwa,Action|Adventure|Comedy|Fantasy|Isekai|Historical,Reincarnation|Genius MC|Hidden Identity|Family,8.5,172,123573,,Lout of Count's Family.jpg,https://comix.to/title/2veyn-lout-of-counts-family
4,"Omae wo Otaku ni Shiteyaru kara, Ore wo Riajuu ni Shitekure!",Manga,Comedy|Romance,Popular FL|Contract Marriage,9,,69505,,"Omae o Otaku ni Shiteyaru kara, Ore o Riajuu ni Shitekure!.jpg",https://comix.to/title/x06y7-omae-o-otaku-ni-shiteyaru-kara-ore-o-riajuu-ni-shitekure
5,Horimiya,Manga,Comedy|Romance|Slice of Life,Popular FL|Hidden Identity|Slow Burn Romance,10,,72451,,Horimiya.jpg,https://comix.to/title/5ze6g-horimiya
2,Eleceed,Manhwa,Action|Comedy|Supernatural,Zero to Hero|Modern Fantasy|Hidden Identity|Slow Burn Romance,10,408,106929,,Eleceed.jpg,https://comix.to/title/xlyyj-eleceed
3,Love’s in Sight!,Manga,Comedy|Romance|Slice of Life,Sunshine ML|Slow Burn Romance,9.5,,107445,,Love's in Sight!.jpg,https://comix.to/title/qlnmm-loves-in-sight
14,How to survive as a maid in a horror game,Manhwa,Comedy|Fantasy|Horror|Romance,Reincarnation|Hidden Identity,8.5,110,169392,,How to Survive as a Maid in a Horror Game.jpg,https://comix.to/title/qd39m-how-to-survive-as-a-maid-in-a-horror-game
1,The Greatest Estate Developer,Manhwa,Adventure|Comedy|Fantasy|Historical,Reincarnation|Genius MC|Heavy Politics|Hidden Identity,10,223,140407,,The Greatest Estate Developer.jpg,https://comix.to/title/8wgym-the-greatest-estate-developer
6,The Fragrant Flower Blooms With Dignity,Manga,Comedy|Drama|Romance,Slow Burn Romance|Popular FL|Sunshine FL,10,194,140475,,The Fragrant Flower Blooms With Dignity.jpg,https://comix.to/title/kedxe-the-fragrant-flower-blooms-with-dignity
11,The Patron of Villains,Manhwa,Action|Fantasy|Isekai|Comedy|Drama|Magic|Historical,Reincarnation|Genius MC|Villain ML|Heavy Politics,8.5,41,201009,,Patron of Villains.jpg,https://comix.to/title/nk9re-patron-of-villains
3,Dungeons & Artifacts,Manhwa,Action|Adventure|Fantasy,Zero to Hero|Axed/rushed|Modern Fantasy|System|Overpowered MC,9.5,149,126594,,Dungeons & Artifacts.jpg,https://comix.to/title/e97le-dungeons-artifacts
10,Unholy Blood,Manhwa,Action|Drama|Romance|Supernatural|Fantasy,Revenge Plot|Enemies to Lovers,8.5,,115000,,Unholy Blood.jpg,https://comix.to/title/e990m-unholy-blood
14,Mr. Paper Bag is in Love,Manga,Comedy|Romance|Slice of Life,Quiet ML,8.5,,123625,,Kamibukuro-kun wa Koishiteru.jpg,https://comix.to/title/3y6wv-kamibukuro-kun-wa-koishiteru
11,"Umarekawattemo Mata, Watashi to Kekkon Shitekuremasu ka",Manga,Drama|Romance,Slow Burn Romance|Family,8.5,,108251,,"Umarekawatte mo mata, Watashi to Kekkon shite kuremasu ka.jpg",https://comix.to/title/r681g-umarekawatte-mo-mata-watashi-to-kekkon-shite-kuremasu-ka
11,"Wake up, Sleeping Beauty",Manga,Drama|Romance|Supernatural|Slice of Life,Hidden Identity|Quiet FL,8.5,,87350,,"Wake Up, Sleeping Beauty.jpg",https://comix.to/title/llw1z-wake-up-sleeping-beauty
10,Welcome to Rose Manor,Manhwa,Drama|Fantasy|Mystery|Romance|Supernatural|Horror,Hidden Identity|Slow Burn Romance,9,56,196510,,Welcome to the Rose Mansion.jpg,https://comix.to/title/r17v-welcome-to-the-rose-mansion
13,My Possession Became a Ghost Story,Manhwa,Fantasy|Horror|Mystery|Romance|Supernatural|Thriller|Comedy|Drama,Reincarnation|Hidden Identity,8.5,39,208654,,My Possession Became a Ghost Story.jpg,https://comix.to/title/80d0m-my-possession-became-a-ghost-story
10,Got dropped into a ghost story but still gotta work,Manhwa,Drama|Fantasy|Horror|Supernatural|Adventure|Mystery,Reincarnation|Hidden Identity,9,21,212562,,"Got Dropped into a Ghost Story, Still Gotta Work.jpg",https://comix.to/title/301dn-got-dropped-into-a-ghost-story-still-gotta-work
2,Kishuku Gakkou no Juliet,Manga,Action|Comedy|Romance,Popular FL|Enemies to Lovers|Slow Burn Romance|Contract Marriage,10,,86279,,Kishuku Gakkou no Juliet.jpg,https://comix.to/title/0kq6l-kishuku-gakkou-no-juliet
6,Masamune-kun's Revenge,Manga,Comedy|Romance|Drama,Enemies to Lovers|Revenge Plot|Popular ML,10,,76716,,Masamune-kun's Revenge.jpg,https://comix.to/title/vl5qq-masamune-kuns-revenge
3,Trinity of the Royal Palace,Manga,Comedy|Fantasy|Romance,Heavy Politics|Slow Burn Romance,9,,102056,,Trinity of the Royal Palace.jpg,https://comix.to/title/gxry3-trinity-of-the-royal-palace
5,Hokago wa Kissaten De,Manga,Romance|Slice of Life,Slow Burn Romance|Popular FL,8.5,,100874,,Hokago wa Kissaten De.jpg,https://comix.to/title/wdl28-hokago-wa-kissaten-de
5,How to Get My Husband on My Side,,Drama|Fantasy|Romance|Historical,Contract Marriage|Heavy Politics|Obsessive ML|Reincarnation|Slow Burn Romance,9,,141013,,How to Get My Husband on My Side.jpg,https://comix.to/title/9nyg5-how-to-get-my-husband-on-my-side
10,Aekanaru,Manga,Drama|Romance,Slow Burn Romance,9,,120675,,Aekanaru.jpg,https://comix.to/title/kndxe-aekanaru
11,Chronicles of the Demon Faction,Manhwa,Action|Fantasy|Murim|Martial Arts,Reincarnation|Hidden Identity|Revenge Plot,8.5,,164222,,Chronicles of the Demon Faction.jpg,https://comix.to/title/l0x7-chronicles-of-the-demon-faction
8,Kaguya-sama: Love is War,Manga,Comedy|Psychological|Romance|Slice of Life|Drama,Genius MC|Slow Burn Romance|Enemies to Lovers|Popular FL|Popular ML,9,,86635,,Kaguya sama Love is War.jpg,https://comix.to/title/gjl7-kaguya-sama-love-is-war
8,Last Game,Manga,Comedy|Romance,Enemies to Lovers|Slow Burn Romance,9.5,,60315,,Last Game.jpg,https://comix.to/title/5z3qg-last-game?page=23
11,Promise of an Orchid,Manhwa,Action|Adventure|Fantasy|Supernatural,Zero to Hero,8.5,,112326,,Promise of an Orchid.png,https://comix.to/title/zxw3-promise-of-an-orchid
7,The Legendary Hero is an Academy Honors Student,Manhwa,Action|Fantasy|Adventure|Comedy|Magic,Reincarnation|Magic Academy|Genius MC|Hidden Identity,9.5,,185979,,The Legendary Hero is an Academy Honors Student.jpg,https://comix.to/title/5zvqm-the-legendary-hero-is-an-academy-honors-student
12,The Great Wizard Transcendent,Manhwa,Action|Drama|Fantasy|Magic,Regression|Genius MC|Overpowered MC,8,,155618,,The Great Wizard Transcendent.jpg,https://comix.to/title/63zwz-the-great-wizard-transcendent
14,Absolute Sword Sense,Manhwa,Action|Fantasy|Murim|Historical|Martial Arts,Regression|Hidden Identity|Genius MC,8,186,151460,,Absolute Sword Sense.jpg,https://comix.to/title/er0x-absolute-sword-sense
14,After Ten Millennia in Hell,Manhwa,Action|Adventure|Fantasy|Comedy|Drama,Regression|Overpowered MC|Hidden Identity,8.5,154,153284,,After Ten Millennia in Hell.jpg,https://comix.to/title/gr5rx-after-ten-millennia-in-hell
12,Blue Lock,Manga,Action|Drama|Sports|Psychological,Zero to Hero|Genius MC,8.5,348,106130,,Blue Lock.jpg,https://comix.to/title/5vvzz-blue-lock
12,Childhood Friend of the Zenith,Manhwa,Action|Adventure|Fantasy|Murim,Regression|Hidden Identity|Overpowered MC,8.5,104,180890,,Childhood Friend of the Zenith.jpg,https://comix.to/title/0kxld-childhood-friend-of-the-zenith
15,Descended from Divinity,Manhwa,Action|Fantasy,Reincarnation|Overpowered MC|Hidden Identity,8,207,136204,,Descended from Divinity.jpg,https://comix.to/title/rr538-descended-from-divinity
16,Genius Archer's Livestreaming,Manhwa,Action|Adventure|Sports,Genius MC|Modern Fantasy,8.5,100,180166,,Genius Archer's Livestreaming.jpg,https://comix.to/title/30mg-genius-archers-livestreaming
12,Hero Organization,Manga,Action|Mecha|Sci-Fi|Drama,,9,59,180739,,Hero Organization.jpg,https://comix.to/title/01jq-hero-organization
10,I Became The Rogue First Prince,Manhwa,Action|Fantasy|Adventure|Comedy|Historical,Reincarnation|Heavy Politics|Hidden Identity,9,39,207089,,I Became The Rogue First Prince.jpg,https://comix.to/title/3rdr3-i-became-the-rogue-first-prince
13,I Became The Villain The Hero Is Obsessed With,Manhwa,Action|Fantasy|Comedy|Drama|Romance,Reincarnation|Villain ML|Hidden Identity,8,57,199014,,I Became The Villain The Hero Is Obsessed With.jpg,https://comix.to/title/e05zm-i-became-the-villain-the-hero-is-obsessed-with
10,I'm the Max-Level Newbie,Manhwa,Action|Fantasy,Regression|System|Overpowered MC,8,266,137280,,I'm the Max-Level Newbie.jpg,https://comix.to/title/d031g-im-the-max-level-newbie
14,Kagurabachi,Manga,Action|Drama|Fantasy,Revenge Plot|Zero to Hero,8.5,124,169355,,Kagurabachi.png,https://comix.to/title/nj7e-kagurabachi
13,Latna Saga Survival of a Sword King,Manhwa,Action|Adventure|Fantasy|Isekai|Magic,Regression|System|Overpowered MC,8.5,292,114605,,Latna Saga Survival of a Sword King.jpg,https://comix.to/title/x187-latna-saga-survival-of-a-sword-king
15,Level Up with the Gods,Manhwa,Action|Fantasy|Adventure|Supernatural,Regression|System|Overpowered MC,8.5,161,138222,,Level Up with the Gods.jpg,https://comix.to/title/klx9y-level-up-with-the-gods
16,Murim Psychopath,Manhwa,Action|Fantasy|Murim|Isekai|Martial Arts|Psychological,Reincarnation|Villain ML|Hidden Identity,8,33,204974,,Murim Psychopath.jpg,https://comix.to/title/eqy5m-murim-psychopath
16,Nebula's Civilization,Manhwa,Adventure|Fantasy,Reincarnation|Genius MC,8.5,118,174515,,Nebula's Civilization.jpg,https://comix.to/title/7zgre-nebulas-civilization
15,The Most Notorious Talker Runs the World's Greatest Clan,Manga,Action|Adventure|Comedy|Drama|Fantasy|Psychological,Reincarnation|Hidden Identity|Genius MC,8.5,63,123463,,The Most Notorious Talker Runs the World's Greatest Clan.png,https://comix.to/title/e9l2e-the-most-notorious-talker-runs-the-worlds-greatest-clan
14,The Swordmaster's Son,Manhwa,Action|Adventure|Fantasy|Magic|Martial Arts,Regression|Heavy Politics|Genius MC,8.5,201,149332,,The Swordmaster's Son.jpg,https://comix.to/title/xg67-the-swordmasters-son
6,Chronicles of the Demon-Slaying Cultivator,Manga,Action|Adventure|Fantasy|Historical|Martial Arts|Tragedy,Genius MC,9.5,7,214315,,Chronicles of the Demon-Slaying Cultivator.jpg,https://comix.to/title/nzmye-chronicles-of-the-demon-slaying-cultivator
6,Grand Duchess's Constitution,Manhwa,Fantasy|Romance|Comedy|Drama|Historical,Reincarnation|Villainess FL|Heavy Politics|Quiet ML|Sunshine FL,9,57,196558,,Grand Duchess's Constitution.jpg,https://comix.to/title/lgd8e-grand-duchesss-constitution
4,Heavenly Demon Cultivation Simulation,Manhwa,Action|Adventure|Fantasy|Martial Arts|Murim,Regression|System,9.5,192,141076,,Heavenly Demon Cultivation Simulation.jpg,https://comix.to/title/550kl-heavenly-demon-cultivation-simulation
12,Like a Chilling Flame,Manhwa,Action|Fantasy|Martial Arts|Murim,Heavy Politics|Zero to Hero,9,70,194966,,Like a Chilling Flame.jpg,https://comix.to/title/7z2g-like-a-chilling-flame
13,The Delinquent Shimizu-san Sitting Next to Me Has Dyed Her Hair Black,Manga,Comedy|Romance|Slice of Life,,8.5,20,180547,,The Delinquent Shimizu-san Sitting Next to Me Has Dyed Her Hair Black.jpg,https://comix.to/title/6mnv-the-delinquent-shimizu-san-sitting-next-to-me-has-dyed-her-hair-black
3,Warrior Kariel,Manhwa,Action|Fantasy|Martial Arts,Zero to Hero,10,50,197177,,Warrior Kariel.jpg,https://comix.to/title/1rxnn-warrior-kariel
,,,,,,,,,,
,Nano Machine,Manhwa,Action|Adventure|Fantasy|Sci-Fi|Murim,System|Hidden Identity|Zero to Hero,,322,120980,,Nano Machine.jpg,
6,The Quintessential Quintuplets,Manga,Comedy|Drama|Romance,Slow Burn Romance|Popular FL|Contract Marriage,8.5,,100230,,The Quintessential Quintuplets.jpg,
8,The Perks of Being an S-Class Heroine,Manhwa,Action|Fantasy|Romance,Reincarnation|Genius MC|Overpowered MC|System,9,136,147586,,The Perks of Being an S-Class Heroine.jpg,
14,Charming the Duke of the North,Manhwa,Fantasy|Romance|Isekai,Contract Marriage|Hidden Identity|Slow Burn Romance,8,,150750,,Charming the Duke of the North.jpg,
12,This Witch of Mine,Manhwa,Fantasy|Mystery|Romance|Supernatural,,8,36,100470,,This Witch of Mine.jpg,
4,Reincarnation of the Veteran Soldier,Manhwa,Action|Adventure|Drama|Fantasy,Slow Life|Overpowered MC,9.5,215,154836,,Reincarnation of the Veteran Soldier.jpg,
